Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
RI,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1056611,74,777,,,,392,13.3,9.69,17.33,0,295,13.3,9.26,18.23,0,261,8.9,5.24,13,0,445,11,7.68,14.77,0,577,11.8,8.99,15.11,0,1022,11.4,9.2,13.69,0,120454,97208,144650,true,false
SC,"Dec 30, 2020 -  Jan 9, 2021",11,Statewide,Statewide,4955925,244,17.7,12.5,23.13,0,433,16.7,13.46,20.1,0,218,12.8,8.39,17.18,0,238,6.1,3.36,9.68,0,444,13.3,10.22,16.69,0,689,15.3,12.61,18.27,0,1133,14.4,12.13,16.5,0,713653,601154,817728,true,false
SD,"Dec 28, 2020 -  Jan 8, 2021",11,Statewide,Statewide,864289,3,777,,,,18,777,,,,7,777,,,,19,777,,,,16,777,,,,31,777,,,,47,777,,,,,,,false,
TN,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,6651089,159,22.6,15.76,30.69,0,407,19.4,15.61,23.55,0,390,16.2,12.32,20.24,0,369,10.9,7.57,14.38,0,509,19.1,15.15,23.46,0,816,17.3,14.47,20.29,0,1325,18.2,15.74,20.87,0,1210498,1046881,1388082,true,false
TX,"Dec 23, 2020 -  Jan 7, 2021",11,Statewide,Statewide,27885195,91,19.2,9.21,29.95,0,506,23.6,19.39,27.93,0,472,18.7,14.85,22.94,0,444,11.6,7.9,15.59,0,605,21.7,16.36,27.26,0,908,18.7,13.94,23.01,0,1513,20.2,16.69,23.57,0,5632809,4654039,6572540,true,false
UT,"Dec 28, 2020 -  Jan 7, 2021",11,Statewide,Statewide,3045350,58,777,,,,498,19.4,15.18,23.5,0,293,15.3,10.55,19.95,0,215,9.9,5.87,14.62,0,369,14.3,10.14,19.96,0,695,20.5,14.96,26.94,0,1064,17.4,13.46,21.69,0,529891,409904,660536,true,false
VA,"Dec 24, 2020 -  Jan 7, 2021",11,Statewide,Statewide,8413774,16,777,,,,328,11,7.66,14.85,0,294,8.5,5,12.64,0,270,3.5,1.43,5.96,0,330,6,2.9,10.08,0,578,11.3,6.82,15.06,0,908,8.7,5.85,11.63,0,731998,492206,978522,false,false
VT,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,624977,6,777,,,,178,1.6,0,4.28,1,106,1.2,0,4.45,1,107,1.5,0,4.73,1,151,1.8,0,4.63,1,246,1.1,0,2.73,1,397,1.4,0.23,3.22,0,8750,1437,20124,false,true
WA,"Dec 23, 2020 -  Jan 8, 2021",11,Statewide,Statewide,7294336,128,5,0.71,10.15,0,326,5.3,2.89,8.44,0,326,4.8,2.24,8.15,0,317,5.1,2.66,8.06,0,498,6,3.48,9.18,0,599,4.2,2.26,6.32,0,1097,5.1,3.48,7.05,0,372011,253843,514251,true,false
WI,"Dec 28, 2020 - Jan 10, 2021",11,Statewide,Statewide,5778394,77,34.5,22.21,46.28,0,445,30.2,24.73,35.48,0,377,23.6,19.07,28.78,0,301,15,10.92,20.05,0,524,28.7,23.2,34.75,0,676,26,21.16,30.82,0,1200,27.3,23.74,30.87,0,1577502,1371791,1783790,true,false
WV,"Dec 25, 2020 -  Jan 9, 2021",11,Statewide,Statewide,1829054,24,777,,,,307,6.2,3.24,9.11,0,261,9.5,5.59,13.74,0,306,6.8,3.69,10.06,0,375,8.2,3.89,14.04,0,523,8.8,5.28,13.34,0,898,8.5,5.38,12,0,155470,98403,219486,true,false
WY,"Dec 28, 2020 -  Jan 9, 2021",11,Statewide,Statewide,581836,8,777,,,,44,777,,,,32,777,,,,55,777,,,,40,777,,,,99,20.5,9.97,32.32,0,139,20.9,10.99,32.39,0,121604,63944,188457,true,false
AK,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,738516,33,777,,,,587,17.9,14.23,21.47,0,414,13.1,9.42,17.23,0,265,8.9,5.36,13.21,0,534,11.3,8.53,15.1,0,765,17.1,12.18,22.67,0,1299,14.1,11.15,17.33,0,104131,82345,127985,true,false
AL,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,4864680,168,27.2,20.34,33.98,0,383,22.6,18.38,27.08,0,417,17.3,13.38,21.36,0,369,12.6,9.39,15.88,0,575,19.9,15.68,23.53,0,762,22,18.6,25.48,0,1337,20.9,18.21,23.41,0,1016718,885858,1138822,true,false
AR,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,2990671,276,23.7,18.27,29.29,0,368,15.2,11.28,19.2,0,362,18.5,14.49,23.05,0,362,11.4,8.2,15.4,0,578,18,14.91,21.67,0,790,16.4,13.49,19.37,0,1368,17.2,15.1,19.61,0,514395,451591,586471,true,false
AZ,"Jan 11 - Jan 19, 2021",12,Statewide,Statewide,6946685,222,35.1,29.13,41.9,0,490,23.9,19.85,28.12,0,560,17,13.88,20.11,0,477,10.7,7.85,13.87,0,738,22.7,19.19,26.31,0,1011,23.4,20.14,26.66,0,1749,23.1,20.76,25.44,0,1604684,1442132,1767237,true,false
CA,"Jan 11 - Jan 15, 2021",12,Statewide,Statewide,39148760,187,24,17.71,30.77,0,321,19.3,15.04,23.7,0,323,15.8,11.74,19.96,0,177,7.2,3.11,11.13,0,420,16.9,13.43,21.13,0,587,19.4,15.64,22.91,0,1008,18.1,15.45,20.77,0,7085926,6048483,8131197,true,false
CO,"Jan 7 - Jan 18, 2021",12,Statewide,Statewide,5531141,165,20.7,13.21,29.57,0,385,13.7,10.29,17.04,0,384,14.9,11.19,19.46,0,380,10.5,6.46,15.78,0,623,15.4,12.26,19.02,0,691,14.8,11.13,19.07,0,1314,15.1,12.5,17.91,0,835202,691393,990627,true,false
CT,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,3581504,325,14.2,10.34,18.08,0,322,10.2,6.73,14.02,0,320,5.5,3.01,7.97,0,324,12.3,8.11,16.29,0,544,11.5,8.24,15.11,0,747,9.3,6.97,11.54,0,1291,10.3,8.25,12.34,0,368895,295474,441958,true,false
DC,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,684498,86,12.5,5.47,19.98,0,345,17.7,13.35,22.22,0,337,11.4,7.73,15.4,0,447,10.9,7.88,14.15,0,477,14.2,10,18.63,0,738,15.7,12.21,19.25,0,1215,15,12.48,17.68,0,102675,85425,121019,true,false
DE,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,949495,120,28.4,20.3,36.92,0,376,15.1,10.97,19.71,0,392,11.8,8.17,15.75,0,328,5.3,2.97,7.92,0,432,17.9,13.89,22.31,0,784,13.4,10.77,16.28,0,1216,15.6,13.16,18.33,0,148121,124954,174042,true,false
FL,"Jan 11 - Jan 15, 2021",12,Statewide,Statewide,20598139,320,18.7,14.27,23.27,0,324,26.9,21.78,31.89,0,327,12,8.66,15.66,0,326,11,7.74,14.75,0,524,19.5,15.53,23.14,0,773,18.7,15.71,21.64,0,1297,19.1,16.74,21.61,0,3934245,3448128,4451258,true,false
GA,"Jan 7 - Jan 18, 2021",12,Statewide,Statewide,10297484,331,25.6,19.8,32.07,0,330,23.3,17.9,29.43,0,331,16.3,11.82,21.73,0,330,11.4,7.46,16.34,0,559,22.2,17.65,27.06,0,763,19.8,16.2,24,0,1322,21,17.96,24.1,0,2162472,1849428,2481694,true,false
HI,"Jan 4 - Jan 23, 2021",12,Statewide,Statewide,1422029,40,777,,,,331,5.9,3.17,9,0,378,2.4,0.75,4.31,0,553,1.9,0.74,3.34,0,500,4.3,1.59,8.14,0,802,3.5,1.98,5.33,0,1302,3.9,2.26,6.1,0,55459,32138,86744,true,false
IA,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,3132499,43,777,,,,595,21.5,17.92,24.78,0,387,26.6,22.42,30.88,0,215,13.2,8.28,17.94,0,567,28.7,21.87,34.91,0,673,20.3,15.9,25.06,0,1240,24.4,20.57,28.59,0,764330,644355,895581,true,false
ID,"Jan 6 - Jan 23, 2021",12,Statewide,Statewide,1687809,32,777,,,,598,18.7,14.83,22.15,0,356,24.4,18.44,30.79,0,332,16.3,11.38,21.98,0,480,21.2,14.83,28.29,0,838,22.9,16.92,30.66,0,1318,22,17.72,27.2,0,371318,299080,459084,true,false
IL,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,12821497,337,32.9,26.82,40.76,0,605,31.2,27.2,35.56,0,542,25.5,20.69,30.31,0,534,16,12.54,19.46,0,748,26.8,22.64,30.77,0,1270,29.6,26.67,32.63,0,2018,28.2,25.72,30.75,0,3615662,3297689,3942610,true,false
IN,"Jan 7 - Jan 20, 2021",12,Statewide,Statewide,6637426,22,777,,,,530,22.2,17.17,27.42,0,185,13,6.13,21.08,0,159,16.9,9,26.37,0,207,22.7,12.3,35.02,0,689,19.6,14.93,25.78,0,896,21.1,15.48,28.22,0,1400497,1027474,1873082,true,false
KS,"Jan 7 - Jan 19, 2021",12,Statewide,Statewide,2908776,166,17,10.02,24.42,0,391,21.1,16.92,25.48,0,389,16.5,12.26,20.76,0,361,9.8,6.28,13.39,0,562,18.4,14.47,22.59,0,745,16.6,13.03,20.03,0,1307,17.5,14.76,20.06,0,509036,429335,583500,true,false
KY,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,4440204,354,17.8,13.73,21.77,0,409,16.2,12.23,20.13,0,409,13.8,10.19,17.82,0,410,9.4,6.4,12.39,0,665,14.7,11.8,17.99,0,917,15.3,12.91,18.16,0,1582,15,12.79,17.21,0,666031,567902,764159,true,false
LA,"Jan 8 - Jan 21, 2021",12,Statewide,Statewide,4663616,321,22.7,16.58,29.46,0,325,12.9,9.09,16.99,0,324,13.7,9.44,18.79,0,326,10.1,6.41,14.02,0,537,13.6,10.34,17.29,0,759,16.3,13.14,19.91,0,1296,15,12.55,17.49,0,699542,585284,815666,true,false
MA,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,6830193,174,14.3,9.23,19.99,0,373,9.8,6.8,13.35,0,372,8.8,5.72,12.32,0,372,7.6,4.94,10.66,0,557,10.3,7.49,13.05,0,734,10,7.74,12.6,0,1291,10.2,8.21,12.15,0,696680,560759,829868,true,false
MD,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,6003435,83,30.6,20.05,42.36,0,418,30.1,25.28,34.65,0,405,9.8,6.77,13.21,0,399,3.4,1.54,5.45,0,495,25.4,20.13,30.38,0,810,19.1,15.32,23.26,0,1305,22.1,18.83,25.32,0,1326759,1130447,1520070,true,false
ME,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,1332813,28,777,,,,279,3.2,1.06,5.74,0,212,3.3,0.66,6.51,0,177,1.4,0,3.15,1,285,2.4,0.62,4.96,0,411,3.5,1.17,7.25,0,696,3,1.37,4.9,0,39984,18260,65308,true,true
MI,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,9957488,76,14.3,6.09,23.37,0,402,21.8,18.1,25.95,0,380,15.6,11.87,19.61,0,377,13.1,9.83,16.97,0,452,15.8,11.51,20.76,0,783,19,15.6,22.06,0,1235,17.4,14.71,20.17,0,1732603,1464746,2008425,true,false
MN,"Jan 7 - Jan 19, 2021",12,Statewide,Statewide,5527358,150,16.6,9.92,23.79,0,436,15.8,11.43,20.41,0,384,16.3,11.83,21.04,0,312,16.7,11.45,21.99,0,516,15.8,12.15,19.98,0,766,16.5,13.34,20.09,0,1282,16.2,13.41,18.79,0,895432,741219,1038591,true,false
MO,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,6090062,148,32.9,22.92,43.22,0,374,21.6,16.47,26.8,0,419,15.6,11.25,20.04,0,404,15.5,9.95,21.11,0,562,21,15.92,25.98,0,783,22.9,19.17,26.95,0,1345,22,18.71,25.02,0,1339814,1139451,1523734,true,false
MS,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,2988762,107,19.7,11.51,28.45,0,327,23.9,19.1,28.59,0,453,18.4,14.48,22.17,0,407,10.9,8.01,14.01,0,555,21.9,17.36,26.25,0,739,18,14.31,21.66,0,1294,19.9,16.64,22.74,0,594764,497330,679644,true,false
MT,"Jan 11 - Jan 22, 2021",12,Statewide,Statewide,1041732,21,777,,,,208,12.4,8.07,17.6,0,208,13.4,8.98,18.18,0,182,8.3,4.11,12.56,0,273,10.5,5.62,16.4,0,346,15.3,9.84,22.01,0,619,12.9,9.36,17.32,0,134383,97506,180428,true,false
NC,"Jan 11 - Jan 21, 2021",12,Statewide,Statewide,10155624,326,16.7,12.35,21.16,0,325,14.2,10.18,18.61,0,338,11.5,8.1,15.23,0,341,8.3,5.38,11.94,0,569,15.4,12.29,18.64,0,761,11.4,8.89,13.99,0,1330,13.3,11.34,15.7,0,1350698,1151648,1594433,true,false
ND,"Jan 11 - Jan 18, 2021",12,Statewide,Statewide,752201,0,666,,,,2,777,,,,0,666,,,,1,777,,,,3,777,,,,0,666,,,,3,777,,,,,,,false,
NE,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,1904760,45,777,,,,690,25.3,21.73,28.6,0,323,20.5,15.6,25.45,0,220,14.3,9.19,19.72,0,616,22.2,17.44,27.87,0,662,26.1,20.1,32.23,0,1278,24.1,20.01,28.76,0,459047,381142,547809,true,false
NH,"Jan 11 - Jan 21, 2021",12,Statewide,Statewide,1343622,86,7.7,2.16,15.33,0,313,6.6,3.73,10.03,0,336,9,5.97,12.64,0,563,6.7,4.54,9.13,0,543,7.8,4.82,11.11,0,755,7,4.72,9.89,0,1298,7.4,5.65,9.54,0,99428,75915,128182,true,false
NJ,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,8881845,219,28.6,22.56,34.87,0,379,24.3,19.76,28.95,0,370,16.6,12.78,20.43,0,389,13.5,10.01,17.1,0,555,22.1,18.18,26.17,0,802,21.8,18.58,25.11,0,1357,22,19.39,24.62,0,1954006,1722190,2186710,true,false
NM,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,2092434,143,15.4,8.81,22.74,0,379,27.7,22.21,33.43,0,379,23.6,18.75,28.35,0,394,10.6,6.96,14.68,0,547,21,16.21,25.78,0,748,21.4,17.46,25.74,0,1295,21.2,18.19,24.42,0,443596,380614,510972,true,false
NV,"Jan 11 - Jan 21, 2021",12,Statewide,Statewide,2922849,122,30.4,21.83,39.57,0,460,25.9,21.76,30.97,0,460,18.9,14.94,22.65,0,339,9.1,6.37,12.07,0,571,23.6,19.08,28.25,0,810,22.6,19.12,26.53,0,1381,23.1,20.15,26.16,0,675178,588954,764617,true,false
NY,"Jan 7 - Jan 20, 2021",12,Statewide,Statewide,19618453,294,9.4,5.73,13.44,0,320,10.2,6.84,13.64,0,344,15.1,11.35,18.87,0,358,10.1,6.86,13.53,0,612,8.6,5.94,11.03,0,704,13.3,10.49,16.46,0,1316,11,9.28,13.11,0,2158030,1820592,2571979,true,false
OH,"Jan 11 - Jan 19, 2021",12,Statewide,Statewide,11641879,210,24.3,18.47,30.15,0,405,33.5,29.15,38.06,0,345,23.2,18.95,28.15,0,396,16.8,12.95,20.88,0,669,34.4,30.46,38.67,0,687,19.1,15.72,22.54,0,1356,26.6,24.09,29.1,0,3096740,2804529,3387787,true,false
OK,"Jan 7 - Jan 15, 2021",12,Statewide,Statewide,3918137,262,23.4,17.99,29.24,0,324,21.3,16.17,25.91,0,325,15.1,10.6,19.49,0,387,12.9,9.16,16.7,0,482,20.5,16.35,24.97,0,816,18.3,15.18,21.71,0,1298,19.4,16.92,22.21,0,760119,662949,870218,true,false
OR,"Jan 8 - Jan 23, 2021",12,Statewide,Statewide,4081943,224,19.2,13.47,26.26,0,325,5.4,2.99,8.01,0,322,5.1,2.87,8.01,0,433,4.6,2.47,6.9,0,576,8.3,5.9,11.18,0,728,8,5.66,10.55,0,1304,8.2,6.58,10.12,0,334719,268592,413093,true,false
PA,"Jan 11 - Jan 24, 2021",12,Statewide,Statewide,12791181,315,15.1,10.5,20.13,0,316,20.2,15.77,24.84,0,394,18.5,13.77,23.15,0,384,11.9,8.26,15.57,0,576,17.2,13.24,21.26,0,833,17.5,14.7,20.61,0,1409,17.3,15.05,19.84,0,2212874,1925073,2537770,true,false
PR,"Jan 11 - Jan 19, 2021",12,Statewide,Statewide,3386941,325,5.7,3.29,8.67,0,325,19.8,14.92,25.26,0,325,11,7.55,15.36,0,325,4.4,2.11,7.06,0,523,10.6,7.26,14.08,0,777,13.9,10.92,17.07,0,1300,12.3,10.03,14.64,0,416594,339710,495848,true,false
RI,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,1056611,91,21.1,12.66,30.1,0,506,17.5,13.86,20.92,0,401,19.7,15.92,24.22,0,373,11.6,8.06,15.49,0,619,17.6,14.09,21.68,0,752,17.8,14.62,21.21,0,1371,17.7,15.34,20.43,0,187020,162084,215866,true,false
SC,"Jan 11 - Jan 21, 2021",12,Statewide,Statewide,4955925,397,19.2,15.04,23.29,0,326,22.9,18.13,27.99,0,413,17.1,13.52,20.75,0,337,8.8,5.82,11.9,0,587,19.6,15.86,23.36,0,886,17.6,14.76,20.56,0,1473,18.6,16.12,20.93,0,921802,798895,1037275,true,false
SD,"Jan 11 - Jan 20, 2021",12,Statewide,Statewide,864289,1,777,,,,18,777,,,,13,777,,,,17,777,,,,17,777,,,,32,777,,,,49,777,,,,,,,false,
TN,"Jan 11 - Jan 22, 2021",12,Statewide,Statewide,6651089,48,777,,,,430,23.8,19.34,28.04,0,440,19.6,15.86,23.59,0,464,14.4,11.09,17.65,0,579,24.1,18.55,29.7,0,803,18.8,15.09,22.79,0,1382,21.4,18.31,24.74,0,1423333,1217814,1645479,true,false
TX,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,27885195,121,22.6,13.8,32.75,0,541,25.3,21.34,29.82,0,577,21.9,18.17,25.83,0,693,12.1,9.2,14.92,0,825,22.9,18.15,27.97,0,1107,22,18.94,25.56,0,1932,22.4,19.56,25.85,0,6246284,5454344,7208323,true,false
UT,"Jan 11 - Jan 21, 2021",12,Statewide,Statewide,3045350,69,777,,,,394,24,19.65,28.57,0,441,20.2,16.09,24.61,0,416,12.5,8.91,15.85,0,493,19.9,14.7,26.09,0,827,23.2,18.61,28.23,0,1320,21.5,18.02,25.47,0,654750,548772,775651,true,false
VA,"Jan 7 - Jan 21, 2021",12,Statewide,Statewide,8413774,34,777,,,,466,10.7,7.51,13.63,0,429,7.2,4.15,10.72,0,464,3.3,1.59,5.31,0,525,6.4,4.16,9.12,0,868,8.7,5.43,12.37,0,1393,7.6,5.62,9.8,0,639447,472854,824550,true,false
VT,"Jan 11 - Jan 22, 2021",12,Statewide,Statewide,624977,8,777,,,,235,0.9,0,2.43,1,153,1.3,0,3.16,1,164,1.9,0,4.47,1,196,0.2,0,0.9,1,364,2,0.61,3.93,0,560,1.2,0.38,2.17,0,7500,2375,13562,false,true
WA,"Jan 8 - Jan 22, 2021",12,Statewide,Statewide,7294336,287,9.5,5.97,13.3,0,315,11.5,7.27,15.71,0,323,6.9,3.89,10.35,0,367,4.7,2.24,7.71,0,587,9.5,6.62,13.12,0,705,8.8,6.42,11.56,0,1292,9.1,6.95,11.23,0,663785,506956,819154,true,false
WI,"Jan 11 - Jan 23, 2021",12,Statewide,Statewide,5778394,87,28.6,17.74,40.26,0,444,32.5,27.54,37.17,0,407,24.5,19.46,29.82,0,421,17.4,13.2,21,0,585,28.3,22.94,34.02,0,774,26.8,21.98,31.97,0,1359,27.5,23.86,31.21,0,1589058,1378725,1803437,true,false
WV,"Jan 10 - Jan 23, 2021",12,Statewide,Statewide,1829054,29,777,,,,454,11.1,7.97,14.75,0,374,8.2,5.36,11.27,0,360,7.1,4.23,9.99,0,534,10.4,6.82,14.97,0,683,9.5,5.83,13.87,0,1217,10,7.21,13.22,0,182905,131875,241801,true,false
WY,"Jan 11 - Jan 20, 2021",12,Statewide,Statewide,581836,3,777,,,,47,777,,,,29,777,,,,33,777,,,,23,777,,,,89,30.7,18.43,43.89,0,112,31.8,18.26,44.06,0,185024,106243,256357,true,false
AK,"Jan 19 -  Feb 6, 2021",13,Statewide,Statewide,738516,61,777,,,,489,17.2,13.17,21.15,0,349,14.8,10.74,19.08,0,407,9.4,6.49,12.67,0,526,13.9,9.61,19.54,0,780,14.6,11.53,18.01,0,1306,14.2,11.56,17.37,0,104869,85372,128280,true,false
AL,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,4864680,235,27.1,21.25,33.18,0,393,26.6,22.28,31.41,0,428,19.1,14.98,22.71,0,357,20.3,16.11,24.73,0,571,25,21.25,29.06,0,842,23.4,20.33,26.96,0,1413,24.2,21.73,26.95,0,1177253,1057095,1311031,true,false
AR,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,2990671,326,24.6,19.78,29.55,0,380,21.5,17.41,26.35,0,376,15.2,11.36,19.37,0,351,10,6.6,13.52,0,571,17.4,14.36,21.1,0,862,20.9,17.93,23.65,0,1433,19.2,16.98,21.43,0,574209,507816,640901,true,false
AZ,"Jan 25 -  Feb 3, 2021",13,Statewide,Statewide,6946685,365,34.2,29.33,38.93,0,342,24.2,19.54,28.72,0,331,23.6,18.97,28.91,0,332,11.7,8.3,15.56,0,596,25.5,21.74,29.41,0,774,23.3,19.97,26.45,0,1370,24.4,21.75,26.83,0,1694991,1510904,1863796,true,false
CA,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,39148760,310,28.4,23.1,34.08,0,322,19,14.77,23.5,0,326,19.1,14.99,23.26,0,325,12.6,8.94,16.49,0,534,19.5,15.57,23.61,0,749,21.2,17.81,24.34,0,1283,20.3,17.78,22.81,0,7947198,6960650,8929832,true,false
CO,"Jan 24 - Jan 27, 2021",13,Statewide,Statewide,5531141,139,15.4,9.23,21.99,0,422,12.5,9.32,15.92,0,368,11.7,7.62,15.81,0,372,7.9,5.19,11.19,0,622,11.8,8.72,15.19,0,679,13,9.72,16.33,0,1301,12.4,9.98,15.02,0,685861,552008,830777,true,false
CT,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,3581504,322,13.3,9.23,16.92,0,322,8.4,5.18,12.03,0,318,10.8,7.26,14.54,0,324,11.5,8.11,15.62,0,537,10.1,7.47,13.04,0,749,10.8,8.5,13.07,0,1286,10.4,8.72,12.38,0,372476,312307,443390,true,false
DC,"Jan 25 - Jan 30, 2021",13,Statewide,Statewide,684498,82,14.2,6.94,22.66,0,612,18.6,15.17,21.82,0,412,14.2,10.86,18.07,0,388,11.7,8.47,14.98,0,597,18,14.1,22.13,0,897,14.8,11.97,17.67,0,1494,16.3,13.96,18.69,0,111573,95556,127933,true,false
DE,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,949495,153,26.5,19.33,33.86,0,364,16.4,12.65,20.27,0,371,16.3,12.23,20.48,0,354,6.4,3.8,9.63,0,441,17.5,13.29,21.94,0,801,16.1,13.04,19.05,0,1242,16.8,14.2,19.13,0,159515,134828,181638,true,false
FL,"Jan 25 -  Feb 5, 2021",13,Statewide,Statewide,20598139,334,25.3,20.58,30.39,0,338,20.6,16.48,25.48,0,339,12.8,9.36,16.38,0,352,9,6.13,11.92,0,621,19,15.54,22.6,0,742,16.5,13.51,19.34,0,1363,17.7,15.68,20,0,3645871,3229788,4119628,true,false
GA,"Jan 22 -  Feb 4, 2021",13,Statewide,Statewide,10297484,326,34.7,27.96,41.2,0,324,24.5,18.84,30.43,0,326,23.2,17.73,29.22,0,325,21.5,16.16,27.12,0,548,26.8,22.15,31.98,0,753,25.9,21.56,30.15,0,1301,26.3,23.01,29.82,0,2708238,2369451,3070710,true,false
HI,"Jan 20 -  Feb 6, 2021",13,Statewide,Statewide,1422029,32,777,,,,316,11.5,7.86,15.27,0,335,8.9,5.67,12.41,0,465,6.1,3.71,8.78,0,395,6.5,3.96,9.24,0,753,9.6,7.2,12.81,0,1148,8.1,6.13,10.26,0,115184,87170,145900,true,false
IA,"Jan 22 -  Feb 6, 2021",13,Statewide,Statewide,3132499,58,777,,,,569,20.7,17.3,24.47,0,338,23,18.28,27.54,0,230,12,8.07,16.28,0,550,20.3,15.86,25.09,0,645,18.9,15.03,23.35,0,1195,19.6,16.51,22.7,0,613970,517176,711077,true,false
ID,"Jan 22 -  Feb 6, 2021",13,Statewide,Statewide,1687809,42,777,,,,512,20.7,16.18,25.47,0,411,19.1,14.36,23.42,0,348,15.2,10.58,20.22,0,501,17.3,11.82,23.07,0,812,18.7,14.21,23.74,0,1313,18,14.33,21.68,0,303806,241863,365917,true,false
IL,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,12821497,448,37.5,30.46,44.05,0,317,38.8,33.19,44.28,0,296,26.3,21,31.87,0,266,12.1,8.38,16.59,0,551,32.2,27.57,37.24,0,776,32,28.07,36.14,0,1327,32.1,29.22,34.98,0,4115701,3746441,4484960,true,false
IN,"Jan 21 -  Feb 3, 2021",13,Statewide,Statewide,6637426,12,777,,,,343,21.9,17.17,27.25,0,110,19.1,11.3,28.31,0,95,11.3,5.21,19.29,0,144,16,9.94,22.35,0,416,23,18.34,27.62,0,560,19.6,15.91,23.33,0,1300935,1056014,1548511,true,false
KS,"Jan 19 - Jan 30, 2021",13,Statewide,Statewide,2908776,119,17.8,10.31,25.39,0,389,14.3,10.45,19.01,0,397,20,15.52,25.44,0,388,14.2,9.94,18.51,0,554,16.8,12.8,21.16,0,739,15.7,12.26,19.74,0,1293,16.2,13.66,19.11,0,471222,397339,555867,true,false
KY,"Jan 25 -  Feb 7, 2021",13,Statewide,Statewide,4440204,338,18.3,14.29,22.56,0,330,16.8,12.42,21.29,0,333,22.7,17.52,28,0,321,10.1,6.33,13.72,0,549,20.6,16.99,24.17,0,773,14.1,11.43,16.92,0,1322,17.3,14.94,19.58,0,768155,663366,869392,true,false
LA,"Jan 21 -  Feb 4, 2021",13,Statewide,Statewide,4663616,324,24.3,18.37,30.69,0,325,11.9,8.43,15.78,0,325,14.7,10.13,19.48,0,324,9.8,5.8,14.17,0,512,13.6,10.02,17.46,0,786,16.5,13.43,19.65,0,1298,15.1,12.85,17.58,0,704206,599275,819864,true,false
MA,"Jan 25 -  Feb 6, 2021",13,Statewide,Statewide,6830193,165,9.5,5.28,14.48,0,374,8.2,5.19,11.72,0,373,9.1,6.31,12.21,0,368,9.4,6.45,12.6,0,533,8.6,5.86,11.54,0,747,9.2,6.77,11.67,0,1280,8.9,7.17,10.97,0,607887,489725,749272,true,false
